Comment	Description	Designator	Quantity	Mouser order code	Farnell order code	TME order code
Capacitor	"10 uF, SMD 1206"	"C1, C2, C3, C4, C5, C8, C9, C10, C11, C12, C14, C27, C28, C29, C30, C31, C38, C39, C40, C41, C42, C44, C45, C46, C47, C48"	26	81-GRM31MR61E106MA2L	1907353	12063D106KAT2A
Capacitor	"4.7 uF, SMD 1206"	"C19, C21, C23"	3 81-GRM31CZ72A475M11L	2497114	12063C475KAT2A
Capacitor	"1 uF, SMD 0603"	"C17, C18"	2	963-LMK107B7105KA-T	3881045	CL10A105KP8NNNC
Capacitor	"33 nF, SMD 0603"	C16	1	187-CL10B333KB8NNND	1759112	CL10B333KB8NNNC
Capacitor	"100 nF, SMD 0603"	"C6, C7, C13, C15, C20, C22, C24, C25, C26, C32, C33, C34, C35, C36, C37, C43, C49"	17	187-CL10B104KA8NNNC	2525219	CC0603KRX7R8104
Resistor	"53.6k, SMD 0603"	R1	1	71-TNPW060353K6BEEA	2447395	ERA3AEB5362V
Resistor	"10.2k, SMD 0603"	R2	1	667-ERJ-3EKF1022V	2059407	 ERJ3EKF1022V
Resistor	"3k, SMD 0603"	R3	1	667-ERA-3AEB302V	2447356	CRCW06033K00FKEA
Resistor	"1.3k, SMD 0603"	"R4, R9, R13"	3	755-SDR03EZPD1301	2447277	CRCW06031K30FKTABC
Resistor	"100k, SMD 0603"	"R5, R10, R14"	3	667-ERJ-3EKF1003V	2309107	AC0603JR-07100KL
Resistor	"2.7k, SMD 0603"	"R7, R12, R16"	3	667-ERJ-UP3J272V	9238530	CQ0603-2K7-1%
LED	"LED, SMD 0603"	"D1, D2, D5, D6"	4	755-SML-D12P8WT86C	2687486	OSG50603C1E
10118193-0001LF	"USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle; Through Hole"	J1	1	649-10118193-0001LF	2751675	10118193-0001LF/C
FTSH-105-XX-X-DV	"Connector Header Surface Mount 10 position 0.050"" (1.27mm)"	J6	1	200-FTSH10501LDVK	3550960	
215079-4	"PCB Receptacle, Board-to-Board, 1.27 mm, 2 Rows, 4 Contacts, Through Hole Mount, Micro-MaTch"	"J7, J10, J11, J13, J16"	5	571-215079-4	1772996	7-215079-4
215079-6	"PCB Receptacle, Board-to-Board, 1.27 mm, 2 Rows, 6 Contacts, Through Hole Mount, Micro-MaTch"	J12	1	571-215079-6	2420412	7-215079-6
SRP6060FA-5R6M	"Power Inductor (SMD), 5.6 µH, 10 A, Shielded, 10 A"	L1	1	652-SRP6060FA-5R6M	2901832	
BUK6Y10-30P	"Power MOSFET, P Channel, 40 V, 39 A, 0.019 ohm, LFPAK56, Surface Mount"	Q1	1	771-BUK6Y10-30PX	3438512	BUK6Y10-30PX
CM1223-02SO	"Industry First Low Capacitance ESD Protection Arrays with Backdrive Protection, 5-Pin SOT- 23"	U1	1	748-CM1223-02SO	3607672	CM1223-02SO
TPS62933DRLR	"Switching Voltage Regulators 3.8-V to 30-V, 3-A, 200-kHz to 2.2-MHz, low-IQ synchronous buck converter in SOT-583 package"	U2	1	595-TPS62933DRLR		
NCP164CSN330T1G	LDO Voltage Regulators LDO 300mA AD 3.3V	U3	1	863-NCP164CSN330T1G	3367831	NCP164CSN330T1G
MAX14930DASE	"Digital Isolator, 4 Channel, 38.2 ns, 1.71 V, 5.5 V, NSOIC, 16 Pins"	"U4, U7, U8"	3	700-MAX14930DASE+	3257451	
DRV8243HQRXYRQ1	"Motor/Motion/Ignition Controllers & Drivers Automotive 40-V, 12-A H-Bridge driver with integrated current sensing and feedback"	"U5, U9, U10"	3	595-DRV8243HQRXYRQ1		
STM32G441KBT6	"ARM MCU, STM32 Family STM32G4 Series Microcontrollers, ARM Cortex-M4F, 32 bit, 170 MHz, 128 KB"	U6	1	511-STM32G441KBT6	3132413	
